2025-11-04 01:34:53,767 | INFO | Configuration loaded from config.yaml
2025-11-04 01:34:53,768 | INFO | Configuration loaded from config.yaml
2025-11-04 01:34:55,674 | INFO | NEXUS microphone initialized
2025-11-04 01:34:55,675 | INFO | Configuration loaded from config.yaml
2025-11-04 01:34:55,708 | INFO | Could not import comtypes.gen, trying to create it.
2025-11-04 01:34:55,709 | INFO | Created comtypes.gen directory: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen'
2025-11-04 01:34:55,709 | INFO | Writing __init__.py file: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen\__init__.py'
2025-11-04 01:34:55,731 | INFO | Using writeable comtypes cache directory: 'C:\Users\Syed\Documents\NEXUS-VirtualAssistant\venv\lib\site-packages\comtypes\gen'
2025-11-04 01:34:55,743 | INFO | Could not import comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4: No module named 'comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4'
2025-11-04 01:34:55,746 | INFO | # Generating comtypes.gen._C866CA3A_32F7_11D2_9602_00C04F8EE628_0_5_4
2025-11-04 01:34:55,797 | INFO | # Generating comtypes.gen.SpeechLib
2025-11-04 01:34:55,802 | INFO | Could not import comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0: No module named 'comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0'
2025-11-04 01:34:55,803 | INFO | # Generating comtypes.gen._00020430_0000_0000_C000_000000000046_0_2_0
2025-11-04 01:34:55,809 | INFO | # Generating comtypes.gen.stdole
2025-11-04 01:34:56,135 | INFO | NEXUS says: NEXUS online. Say 'hey nexus' to activate.
2025-11-04 01:35:01,174 | INFO | NEXUS listening...
2025-11-04 01:35:06,016 | INFO | User said: when excess
2025-11-04 01:35:06,150 | INFO | NEXUS listening...
2025-11-04 01:35:09,313 | INFO | NEXUS listening...
